img_name,command
IMG_00076.jpg,0
IMG_00087.jpg,0
IMG_00095.jpg,0
IMG_00102.jpg,0
IMG_00110.jpg,0
IMG_00117.jpg,0
IMG_00134.jpg,1
IMG_00144.jpg,0
IMG_00153.jpg,0
IMG_00163.jpg,0
IMG_00173.jpg,1
IMG_00195.jpg,1
IMG_00204.jpg,0
IMG_00214.jpg,0
IMG_00222.jpg,0
IMG_00231.jpg,1
IMG_00242.jpg,0
IMG_00254.jpg,0
IMG_00262.jpg,1
IMG_00271.jpg,0
IMG_00282.jpg,0
IMG_00295.jpg,1
IMG_00305.jpg,0
IMG_00327.jpg,1
IMG_00337.jpg,0
IMG_00350.jpg,2
IMG_00360.jpg,1
IMG_00371.jpg,0
IMG_00379.jpg,0
IMG_00392.jpg,0
IMG_00400.jpg,1
IMG_00419.jpg,0
IMG_00430.jpg,1
IMG_00439.jpg,0
IMG_00448.jpg,0
IMG_00456.jpg,0
IMG_00466.jpg,1
IMG_00489.jpg,1
IMG_00499.jpg,0
IMG_00507.jpg,0
IMG_00513.jpg,0
IMG_00520.jpg,0
IMG_00526.jpg,0
IMG_00535.jpg,0
IMG_00543.jpg,1
IMG_00553.jpg,1
IMG_00562.jpg,1
IMG_00576.jpg,1
IMG_00587.jpg,0
IMG_00596.jpg,1
IMG_00606.jpg,2
IMG_00616.jpg,0
IMG_00626.jpg,0
IMG_00638.jpg,0
IMG_00647.jpg,0
IMG_00657.jpg,0
IMG_00669.jpg,0
IMG_00677.jpg,1
IMG_00690.jpg,0
IMG_00698.jpg,1
IMG_00706.jpg,0
IMG_00714.jpg,0
IMG_00723.jpg,1
IMG_00733.jpg,0
IMG_00740.jpg,0
IMG_00750.jpg,0
IMG_00758.jpg,1
IMG_00781.jpg,0
IMG_00790.jpg,1
IMG_00800.jpg,0
IMG_00809.jpg,0
IMG_00847.jpg,0
IMG_00857.jpg,1
IMG_00891.jpg,1
IMG_00900.jpg,0
IMG_00909.jpg,2
IMG_00917.jpg,1
IMG_00927.jpg,0
IMG_00936.jpg,0
